t,V
0.0,0.0
100.0,2.0659636311902203e-05
200.0,4.0774337102651775e-05
300.0,6.0384588271601655e-05
400.0,7.952445229359362e-05
500.0,9.822540360186817e-05
600.0,0.0001165163555003628
700.0,0.00013442366016371238
800.0,0.0001519711086372488
900.0,0.0001691799308370013
1000.0,0.00018606879554969617
1100.0,0.00020265381043275686
1200.0,0.0002189547423631295
1300.0,0.0002349915852272727
1400.0,0.0002507737619213651
1500.0,0.0002663103409429089
1600.0,0.00028161013740828506
1700.0,0.0002966817130527531
1800.0,0.0003115333762304514
1900.0,0.000326173181914397
2000.0,0.00034060893169648554
2100.0,0.00035484817378749167
2200.0,0.0003688982030170684
2300.0,0.0003827660608337476
2400.0,0.0003964585353049401
2500.0,0.0004099821611169348
2600.0,0.00042334321957490005
2700.0,0.00043654773860288216
2800.0,0.000449601492743807
2900.0,0.0004625100031594783
3000.0,0.0004752785376305793
3100.0,0.0004879121105566711
3200.0,0.0005004154829561942
3300.0,0.0005127931624664676
3400.0,0.000525049403343689
3500.0,0.0005371882064629345
3600.0,0.0005492133193181594
3700.0,0.0005611282360221975
3800.0,0.0005729361973067614
3900.0,0.0005846401905224421
4000.0,0.0005962429496387095
4100.0,0.0006077469552439124
4200.0,0.0006191544345452782
4300.0,0.0006304673613689129
4400.0,0.0006416874561598012
4500.0,0.0006528161859818064
4600.0,0.0006638547645176708
4700.0,0.0006748041520690157
4800.0,0.000685667029768575
4900.0,0.0006964477311274064
5000.0,0.0007071478088428263
5100.0,0.0007177687496429023
5200.0,0.0007283120160870055
5300.0,0.0007387790465658086
5400.0,0.0007491712553012876
5500.0,0.0007594900323467202
5600.0,0.0007697367435866873
5700.0,0.0007799127307370716
5800.0,0.0007900193113450593
5900.0,0.0008000577787891381
6000.0,0.000810029402279099
6100.0,0.0008199354268560347
6200.0,0.0008297770733923411
6300.0,0.0008395555385917164
6400.0,0.000849271994989161
6500.0,0.0008589275909509783
6600.0,0.0008685234506747738
6700.0,0.0008780606741894554
6800.0,0.0008875403373552345
6900.0,0.0008969634918636236
7000.0,0.0009063311652374387
7100.0,0.0009156443608307976
7200.0,0.0009249040578291216
7300.0,0.0009341112112491333
7400.0,0.0009432667519388587
7500.0,0.0009523715865776258
7600.0,0.0009614265976760656
7700.0,0.0009704326435761108
7800.0,0.0009793905584509976
7900.0,0.0009883011523052641
8000.0,0.0009971652109747509
8100.0,0.001005983496126601
8200.0,0.0010147567452592605
8300.0,0.0010234856717024777
8400.0,0.0010321709646173027
8500.0,0.0010408132889960892
8600.0,0.0010494132856624931
8700.0,0.0010579715712714724
8800.0,0.0010664887383092878
8900.0,0.0010749653550935026
9000.0,0.0010834019657729825
9100.0,0.001091799090327896
9200.0,0.0011001572245697138
9300.0,0.0011084768401412087
9400.0,0.0011167583845164571
9500.0,0.001125002281000837
9600.0,0.001133208928731029
9700.0,0.0011413787026750164
9800.0,0.0011495119536320856
9900.0,0.0011576090082328243
10000.0,0.0011656701689391233
